Wavelength_i,Wavelength_j,Wavelength_k,TBI_Type,R2,RMSE,rRMSE,MAE,Correlation
910,774,822,TBI24,0.48271788242562164,19.967413,0.29747772,16.152542,0.6947790615281363
818,778,918,TBI24,0.4826518089931795,19.968689,0.29749674,16.177452,-0.694731448869673
918,778,818,TBI24,0.4826517751789049,19.968689,0.29749674,16.177454,0.6947314000877657
818,778,918,TBI25,0.48265170679128544,19.96869,0.29749674,16.177452,-0.694731406627577
918,778,818,TBI25,0.48265170679128544,19.96869,0.29749674,16.177452,0.694731406627577
914,818,774,TBI13,0.4825675107240549,19.970316,0.29752097,16.28185,0.69467079925303
914,774,818,TBI13,0.4825674947916859,19.970316,0.29752097,16.28185,-0.6946707882555287
822,774,914,TBI13,0.4823558595190439,19.9744,0.2975818,15.973,0.6945184231885916
822,914,774,TBI13,0.48235582853177583,19.9744,0.2975818,15.973,-0.6945184347364156
818,774,914,TBI25,0.4822184801837087,19.97705,0.2976213,16.179642,-0.6944195254363406
914,774,818,TBI25,0.4822184801837087,19.97705,0.2976213,16.179642,0.6944195254363406
914,774,818,TBI24,0.4822184202461196,19.97705,0.2976213,16.179644,0.6944195142569952
818,774,914,TBI24,0.4822183587742469,19.977053,0.29762134,16.17964,-0.6944195096218184
818,918,778,TBI13,0.48207535341414054,19.97981,0.2976624,16.093401,-0.6943164769614464
818,778,918,TBI13,0.48207528496581487,19.979813,0.29766244,16.093405,0.6943164140352771
822,774,906,TBI25,0.4819445568063121,19.982334,0.29770002,16.302568,-0.6942222599786207
906,774,822,TBI25,0.4819445568063121,19.982334,0.29770002,16.302568,0.6942222599786207
906,774,822,TBI24,0.4819445330901836,19.982334,0.29770002,16.302568,0.6942222231714437
822,774,906,TBI24,0.4819444484414219,19.982336,0.29770005,16.302574,-0.6942222233290407
866,938,858,TBI13,0.48182240440598223,19.98469,0.2977351,15.624289,-0.6941342456060281
866,858,938,TBI13,0.4818221581509352,19.984694,0.29773515,15.624292,0.6941341310840564
818,922,778,TBI13,0.4816396730540967,19.988213,0.29778758,16.19691,-0.6940026191670953
818,778,922,TBI13,0.48163964844008555,19.988214,0.2977876,16.19691,0.6940026618499727
818,774,918,TBI25,0.48163655901049407,19.988272,0.29778847,16.130095,-0.6940004039243893
918,774,818,TBI25,0.48163655901049407,19.988272,0.29778847,16.130095,0.6940004039243893
