Wavelength_nm,w_mean,w_std,w_ci_low,w_ci_high
826,0.9177120314048789,0.03892776425363905,0.830549255156336,0.9767807508487717
830,0.9199000668842726,0.03819438669582636,0.8335424654834881,0.9774349783168328
834,0.9208700595910496,0.037946797125866204,0.8333394320361394,0.9778717007738363
838,0.9220463411379178,0.03748974141111435,0.8345004498153377,0.978304516572366
842,0.923470657551411,0.036912875261432006,0.8367453190142994,0.9788805398408309
846,0.9259716760052814,0.03585336627439101,0.8436605810198589,0.9797076182417158
850,0.9283133931795813,0.034926371382581464,0.8490365830903717,0.980660989809186
854,0.9295145177947037,0.034490684944392266,0.8503653555635096,0.9810910852310792
858,0.9306248332666361,0.034173001529137555,0.8512697026325018,0.981544817397363
862,0.9312481125661867,0.03417877217363974,0.8514988323560069,0.9819303198371554
866,0.9309819840502085,0.0346299430106387,0.8496625243104068,0.9816836654952564
870,0.9309650330429831,0.03485259692706623,0.8491782604810745,0.9820657770441651
874,0.9313066453659614,0.03494090896319433,0.8484831021086355,0.9821192312071124
878,0.9319988125772297,0.03476070025722818,0.8489375162444275,0.982612679523806
882,0.9319064141715625,0.03496723872377735,0.8488377209514044,0.9825701425863324
886,0.9316117205621923,0.03535389442407117,0.84534163416549,0.982422943073248
890,0.9311059423197225,0.03581483655474076,0.843073715554696,0.9824704204098537
894,0.9291209346596386,0.03697609583438197,0.8379910728424698,0.9818525973330164
898,0.926819139311794,0.038186477401645595,0.8343331704557346,0.9815878659626666
902,0.928088527671637,0.03767137761208326,0.8367536815467118,0.9821741773581132
906,0.9294738590617672,0.03708814671248154,0.8386015656923556,0.9821823763502366
910,0.9305274880997736,0.03656494110838943,0.8392888878390045,0.982558142964974
914,0.9322398120091535,0.03555123937272381,0.843139836389903,0.9830549833648164
918,0.933334700805974,0.0349184611629508,0.8483577441698645,0.9834193661512793
922,0.9315769403189638,0.03587388222341611,0.8448791695735637,0.9829256711992429
926,0.9305945735150688,0.036529950609411194,0.8413978765654537,0.9831802431692707
930,0.9253289560315058,0.0387268421641648,0.830118542052716,0.9816272143870558
934,0.9111911103309976,0.044166458639400774,0.8071663587316044,0.9769010762015289
938,0.8837514047978642,0.05489012368976971,0.7600690216268571,0.9689078124532208
942,0.864670198598853,0.06324042101350799,0.7087060607208215,0.9612664505797679
946,0.8428360213869647,0.07222982732127971,0.657747834365753,0.9532532438499347
950,0.8280267475606273,0.07761966338090794,0.6288317176134792,0.9451947377157366
954,0.8200668777846283,0.0801894526402677,0.6175948980994925,0.9433003906787097
958,0.8114961300570467,0.0825847285288023,0.6110639599438678,0.9409923240742871
962,0.8049373444972381,0.08499723769778374,0.5940604317942787,0.9373477376786629
