New_Tree_ID,AGB,ave_b_NDVI,ave_b_ND800_680,ave_b_mND_705,ave_b_DD,ave_b_mSR_705,ave_b_DATT,ave_b_Chl_Rred_edge,ave_b_TBI_13,ave_b_TBI_24,ave_b_TBI_25
16,67.40703717,0.8929764085962336,0.8603700120072963,0.6206649000851335,0.055102695999999986,4.272383169897985,20.173973917455463,1.4543114276575095,0.8807917801631944,0.3284276469577886,0.6715723504129918
17,89.7667815,0.8813121334455781,0.846240537225424,0.5999740176797334,0.061483467,3.999675235307656,16.93812159863045,1.3613242519645063,1.0204953346039662,0.31352964525876903,0.6864703524269419
18,87.24396389,0.8898642605321253,0.8407649563419872,0.5730514650539174,0.033095752,3.6844053373274117,26.781444932344275,1.2893198054145905,0.9597869640594725,0.3144124469564554,0.6855875510177378
19,107.244443,0.8890350627305063,0.8506710495295315,0.5884452422329269,0.049577208,3.8596206437426446,19.481344358567824,1.3665016491404818,0.6588192897536425,0.3636331230178625,0.6363668747491881
20,81.61584885,0.8577924853594379,0.8190287643490086,0.5851831106672133,0.05504308000000001,3.8214044523360178,20.96084787081616,1.3412148043775312,0.8581859314227133,0.33154980726080274,0.6684501902487388
21,94.56072651,0.882605908071882,0.8483991459008696,0.5846698875763585,0.053355182,3.815446646707421,17.09391738200244,1.3627730516233263,0.9205551725798302,0.33581193035559304,0.6641880665776321
22,139.2774604,0.8903136476745226,0.8630109433588024,0.653619200515686,0.07262602299999998,4.773992091255046,17.922573671524578,1.637648654232755,2.335617902193155,0.19028292618462425,0.8097170704482735
23,43.16346906,0.9091275904810432,0.8607394201545757,0.6041805686864118,0.040089574,4.052809027263916,29.328566459056667,1.430382946756152,0.4229614038694648,0.4114147824579675,0.5885852151067332
24,89.51356569,0.8686021098950071,0.8380860667447607,0.5824711883195562,0.070035722,3.7900885925081957,13.404087575358071,1.3045197245299893,1.1631264455398103,0.29546258293403366,0.7045374146353381
25,94.58074054,0.8893504319323473,0.8523702333270555,0.5967758677679241,0.048176972000000005,3.960020585995694,19.355827515774653,1.3733545299292613,0.9620929378355706,0.3147438777289932,0.6852561201658601
26,82.70858614,0.8789379404323566,0.8367839197632763,0.5575655809858606,0.040213478000000004,3.5204439593703465,20.252572542668208,1.2467885724820555,0.5999709397924617,0.36964593743738927,0.6303540604432887
27,90.24573857,0.8598349771313438,0.8265415181171594,0.5993061133486959,0.06509903600000003,3.9913414306057975,16.286918858337472,1.392085266841245,1.0438566976279897,0.31449199457200727,0.6855080031195955
28,72.30884802,0.8784193525213635,0.8394206645875685,0.6008954966666783,0.05247074800000001,4.011218816455923,19.543202038741804,1.420478769838478,0.6573168015462466,0.3765368888124114,0.6234631086514041
29,57.61488017,0.8800616799287896,0.8509758169744331,0.616063275559049,0.06866545500000001,4.209191697528258,16.162245591745357,1.434922454278099,1.3277985203465401,0.28895987709316673,0.7110401206426284
30,51.94978912,0.9019529474114394,0.8529605527398537,0.5756963143835423,0.032236694,3.713605050838091,28.30791896699598,1.3795691442309788,0.47666840990290116,0.4037274165469851,0.5962725807081211
31,79.02019367,0.8869257845323377,0.8590008150785803,0.6079701195174324,0.06852632,4.101651932742199,15.234202382016411,1.425826438871204,0.6865442350696355,0.35875637465996196,0.6412436230446757
32,70.77411233,0.8810539895020656,0.8474028164217801,0.6066573710569868,0.06436268699999999,4.084625591263006,16.96677145318521,1.451580654366735,0.711954706324548,0.357984747027867,0.6420152510339231
33,36.87862221,0.8836180111422106,0.8504204332867731,0.6085802900790749,0.060984742999999994,4.109604719695839,14.847888104063292,1.3797005704480934,0.4061592359582396,0.40652032224812584,0.5934796754976196
34,78.12089996,0.8585214768338425,0.8156068886751218,0.5631230001985094,0.04900866400000001,3.5779475644961654,19.071597141593838,1.272915479450599,0.6095042824037119,0.36520777963945283,0.6347922186326196
35,90.32501245,0.8966694035135422,0.8674406158225811,0.6432969680581666,0.073813928,4.606904954672772,13.964750070300502,1.5455611452473703,0.6950637401915116,0.35809241739904774,0.6419075797087385
36,59.18107363,0.8741684373449711,0.8410149348378917,0.5881238223409261,0.06357491500000001,3.8558282951088434,14.870239601379257,1.3383808334245777,0.6688214899129686,0.35697244626896557,0.6430275519334311
37,53.99643758,0.8674216982473091,0.8359446405381026,0.600928141739618,0.07211511300000001,4.0116287488108595,13.565266847475089,1.3620614955448622,0.8882917406081208,0.3354696656045143,0.6645303324526054
38,53.33566814,0.857418541568519,0.8186662625271159,0.5761294834778103,0.058655948000000006,3.7184220643276844,15.66022392418104,1.2547383032405843,0.640438232653126,0.3665124364235104,0.6334875616991671
39,40.54604196,0.876630139003755,0.8410793344450153,0.6071407948433849,0.062048961,4.090882359178609,17.52896825338581,1.4451734953614865,0.5340583581612353,0.38769978792025117,0.6123002102025498
40,37.8242169,0.7880768473660152,0.7276949782698516,0.5023988035558616,0.03770636799999999,3.0192829352894996,21.361630222250074,1.0734276144376573,0.5026790797025825,0.3858083671556637,0.6141916310359239
41,51.0628713,0.8764758816023711,0.8484800413389002,0.6049788754251931,0.086031,4.063020364249656,11.326663913712812,1.3869349222613092,0.8266681503190316,0.3418566214120729,0.6581433767392835
42,39.5140975,0.8798709285641757,0.845750751657254,0.599019813940012,0.062207691,3.987777618124809,15.723034753007667,1.3838965205246434,0.7613848253944779,0.3473946986839458,0.6526052992201218
43,39.74733355,0.8510194051550714,0.8099525751394882,0.5810947527455977,0.05479653600000001,3.7743493553441265,19.494598659905495,1.377024196871516,0.5245399048385229,0.38240893949866867,0.617591058645432
44,56.4556332,0.8898670709286436,0.854862603273668,0.6052127482515071,0.05535328099999998,4.066019705685663,17.853529851183172,1.4310916338402024,0.5661203130954037,0.37255984908554535,0.6274401487993304
45,25.02701878,0.8196080759032092,0.7797340310405931,0.5227805792841103,0.05004481999999999,3.190944272581554,12.727277091519566,1.0658988038138517,0.7700618978800818,0.35490711505039413,0.6450928830538885
46,109.6186072,0.8603151170069909,0.8279207612443449,0.5857496136220378,0.067672207,3.8279979054410576,13.049503877552683,1.2970418662928944,0.8380574690116428,0.33697485494831714,0.6630251428162486
47,50.67342485,0.8798846324146489,0.8383102928656202,0.5745791904007456,0.043951662999999995,3.7012274706368977,21.65600559502077,1.3049331263880943,0.5380717671633646,0.38567775603442256,0.6143222415295625
48,32.94406348,0.8865263224405875,0.8510998287318682,0.6167830159840926,0.06393990299999999,4.2189753599137045,18.079142071529557,1.4796486339784356,0.7634274826715649,0.34669536139031965,0.6533046367567725
49,44.35949173,0.8706732713335714,0.835417983665591,0.5973630146996117,0.065076169,3.9672535572384406,14.492542232652086,1.3509578680105774,0.732823728804966,0.3581722815873152,0.6418277162842718
50,58.70245845,0.902992483356204,0.8794378411645873,0.6289401818981556,0.073415162,4.389966522360772,12.744736703841465,1.4810902107373898,0.8977034207104989,0.3275312167013192,0.6724687808048705
51,51.30043059,0.9014915621675086,0.8700125681590557,0.627130107660587,0.068976284,4.363801256940985,14.245165634504499,1.4788047663119892,0.4744967185239032,0.39456583046229793,0.6054341670550542
52,23.63660996,0.8870377661971787,0.8520771062981675,0.6146371946644701,0.06235710099999999,4.189914463413113,16.76951145165294,1.4530708953352236,0.6519832400561418,0.3581029415894592,0.6418970564299191
53,52.38459929,0.887515207018689,0.8499119592120832,0.5930385997466499,0.05408404000000001,3.9144709937279827,16.269760929484193,1.3529536495324845,0.5648067643845213,0.3776392612423551,0.6223607367045254
54,80.10569871,0.8619937756438291,0.8228960495511494,0.5900489845641054,0.058451011000000004,3.8786316462477237,16.704426187706368,1.347048657031745,0.7250642482587621,0.35272221356664185,0.6472777844284366
55,30.92496356,0.8938481986038046,0.8594147987733632,0.6234421717283005,0.06312962899999999,4.311269204402639,17.85771200534193,1.4997736903654442,0.5383778466923862,0.3922006958078924,0.60779930209611
56,87.07503944,0.8168439667835937,0.7747158182811232,0.5202745121638642,0.05250039099999999,3.169050944401065,12.760801893768685,1.0865918058996904,0.7149868165424028,0.36220984477561724,0.6377901533765264
57,58.43941671,0.8524441425866925,0.8150169603163857,0.5609989270276647,0.061028791,3.555797516241637,13.128680070756586,1.210869248750868,0.674884151913507,0.3700123653275942,0.6299876327497952
58,50.13534971,0.9047007763878694,0.865744783423122,0.622813264044264,0.050362088999999985,4.302413381855371,23.158615438535666,1.5216348791409633,0.4749757725068084,0.3728517042291144,0.6271482936108889
59,39.74733355,0.8623370099611534,0.8221631495594303,0.5748136642021401,0.05512680700000002,3.7038200173116804,16.556176692099285,1.3073512047698967,0.5931589821654403,0.37591925368338613,0.6240807442841297
60,76.02129961,0.858449454076271,0.8207345899050341,0.5710586131175521,0.058570426999999994,3.6626417007572543,14.022873496250453,1.261086796882219,0.792677141564586,0.34523841792346555,0.6547615799169001
61,63.99937045,0.8867511906268244,0.8459885888725983,0.5875190194298269,0.045936583,3.8487084032467753,20.491606558190774,1.3640576468351884,0.5088463312659846,0.3900906364860324,0.6099093614045288
62,49.41193063,0.8655780569781223,0.831131898080235,0.6015977274023666,0.066259907,4.020051679107615,14.148815404441187,1.364624589636081,0.8088256652551353,0.33819816244758,0.6618018353862363
63,63.82430149,0.8825661821674716,0.8448368727924888,0.5762434337299497,0.057392257000000016,3.719690871508186,14.101569432776571,1.2663894629047263,0.7239842310498255,0.3553123573592194,0.6446876408643423
64,32.21010303,0.856098394723313,0.8191551129626451,0.5775409745018265,0.06685482699999999,3.7341869319889573,14.465109750481519,1.2761640496116495,0.8037099941706387,0.34312035456861284,0.6568796434442701
65,43.02858032,0.8736238297149753,0.8388884221177805,0.6052668106400169,0.06504768999999999,4.0667135453353636,16.471036840920327,1.435793192701631,0.7057254036152955,0.3549327426139406,0.6450672554887891
66,32.35254559,0.878013234803151,0.8282226320533173,0.5652744765473955,0.03868430500000001,3.6006040331369795,22.641423054584042,1.3045961783611912,0.4324544296220189,0.39771760818719226,0.6022823898645572
67,56.80205659,0.8697721832405064,0.8339207286858858,0.5792888268129586,0.06085231399999999,3.7538551982458297,13.52578529742881,1.3056235696471248,0.7438609277879512,0.35738756319789744,0.6426124346796486
68,41.47937683,0.8498472188591162,0.8059385152990645,0.5471617233845621,0.04814150799999999,3.4165877770997204,16.98704405699427,1.2115400928044395,0.5717353738211258,0.3645510876936405,0.6354489104653788
69,55.59174654,0.8586987437955113,0.8114609939957453,0.5669029035728825,0.045146815,3.617902113479686,20.61756345378298,1.3227031668811224,0.4813479776220681,0.38965100399760827,0.6103489936803461
70,96.07161628,0.8653505072785906,0.8265016116141054,0.5820079341457437,0.055293403,3.7847798098351575,15.358208216773562,1.3120002749234683,0.6236400731467522,0.3656166372671427,0.6343833606821736
71,11.98401757,0.8507759371803093,0.7960644121467362,0.5417743468030554,0.035545359000000006,3.364661783979075,20.594173755739163,1.1251697447021356,0.6086280325314188,0.3756960604870184,0.6243039378077069
72,38.28179859,0.87188735464054,0.8212567813963689,0.5685439180894701,0.03945764399999999,3.63546599591545,27.335164096989573,1.3047607721710008,0.3722684580280621,0.40614379546962764,0.5938562025650355
73,30.88539642,0.8621309069134235,0.8279345676586615,0.5895076882658739,0.07346799799999999,3.8721984326850865,13.081778471219701,1.3387537928286313,1.045187154726382,0.31431424352658577,0.685685754601308
74,46.22901777,0.8918767065812309,0.8529155709952124,0.5935736100644164,0.045531511000000004,3.9209402880912316,25.778082607036232,1.402688324243993,0.3655120776471176,0.398513545105512,0.6014864525218256
75,36.32284511,0.8775025044995545,0.8397039686879652,0.5629591094104553,0.037166666,3.5762308276776444,21.382758683860963,1.2665738784168004,0.39533563394847065,0.4094353121100788,0.5905646853990231
