New_Tree_ID,AGB,sun_NDVI,sun_ND800_680,sun_mND_705,sun_DD,sun_mSR_705,sun_DATT,sun_Chl_Rred_edge,sun_TBI_13,sun_TBI_24,sun_TBI_25
27,90.24573857,0.8308143159764717,0.795474423530593,0.5715211877428993,0.06467256999999998,3.6676753684066496,13.52559188469667,1.275386924952986,1.0736156144487639,0.31298753014461084,0.6870124679903092
28,72.30884802,0.8365943418388375,0.80440207359971,0.5838449873811253,0.071952552,3.8059014965476012,12.35335293159946,1.3032927460503272,0.8727069311600317,0.34182834302373094,0.6581716551815865
29,57.61488017,0.8538031168105428,0.8252207660558277,0.5885117213279564,0.07619427899999999,3.8604057554863913,12.003136308919954,1.3229231006359745,1.4694628720445861,0.2761772563909165,0.723822741670802
30,51.94978912,0.8381317095655917,0.8037127000780429,0.5477063254113317,0.05570902000000001,3.421905744666828,12.293343055988622,1.1805906237708124,1.012261459693302,0.32465156649641036,0.6753484315099216
31,79.02019367,0.8821102706297229,0.8595145494955564,0.6216237697049543,0.089096375,4.285744287776883,11.118047453041848,1.4349614209549193,0.8349743582080303,0.3479053920398527,0.652094605435738
32,70.77411233,0.863534195233505,0.8346815252349743,0.6055301183021601,0.08256267499999999,4.070095565449113,12.484405249417705,1.413815247996561,0.8479427514958559,0.34510440398882203,0.6548955942018991
33,36.87862221,0.8508381990597529,0.8238311797305596,0.5902904616833483,0.08981137100000001,3.8815070465418184,8.564288886648377,1.2709221077761157,0.8444920375222555,0.33607492854320287,0.6639250685872277
34,78.12089996,0.8225241163541701,0.7826717211680305,0.5505108721084626,0.065411745,3.4494958253472023,12.833782281777635,1.2050034421178104,0.7289893832396365,0.348700014807786,0.651299983430913
35,90.32501245,0.8676211490870408,0.8451496192684828,0.6308685487224367,0.111094338,4.418124062092286,8.638333353097083,1.441907104378414,1.3879521005123248,0.28246889999963926,0.717531096151783
36,59.18107363,0.8609746833264167,0.8352706836344754,0.5920896598916318,0.08635606600000001,3.9030382451501615,10.684610753825186,1.3343836765217247,0.7847786278524393,0.3551556205569739,0.6448443774610579
37,53.99643758,0.8542736960322223,0.8295193440424973,0.598008851676031,0.08989302299999999,3.975233923788363,10.031002017954934,1.3214903529502986,1.061875250827247,0.32272554841422946,0.6772744494822618
38,53.33566814,0.828103746987435,0.7928492967395989,0.5618403011477172,0.07264737500000001,3.564545765958186,11.265658988870925,1.184953702388611,0.7032621726790705,0.3677271657405115,0.6322728323605552
39,40.54604196,0.8535030856618282,0.8216263391458937,0.6048346458275917,0.081706055,4.061172435187997,12.7592658661105,1.4174443848347744,0.7207924327377896,0.36468727459981976,0.6353127233121567
40,37.8242169,0.7758249577677407,0.7297606184166541,0.5125632896399652,0.05694913900000001,3.10309678317125,12.244605852547116,1.0454271197323197,0.5687764999839343,0.37307068057523457,0.6269293178159003
41,51.0628713,0.8817517498547477,0.8542030972609903,0.610519259804605,0.08559626399999998,4.135042099804623,10.933310699685945,1.3995709988717673,0.7143455077059835,0.3649696923274291,0.6350303055342923
42,39.5140975,0.8553359032013504,0.828362621595683,0.5946803960756104,0.088745492,3.9343776586043133,10.317403212411563,1.3251372237998047,1.153673966605679,0.3092229850700926,0.690777012724158
43,39.74733355,0.8280244961279672,0.7915251683320961,0.5802466132229441,0.074889392,3.7647024680576475,13.598403371036689,1.3533226032082162,0.7049886582646383,0.35830971525670524,0.6416902828168519
44,56.4556332,0.8683742363206136,0.8405487652703219,0.6058501820325389,0.08296983699999999,4.074212664280611,11.039167164885608,1.3886054637652543,0.7796265632218812,0.34941347984446924,0.6505865179597582
45,25.02701878,0.8024973949583838,0.767112049432362,0.5250717664744653,0.06139802700000001,3.2111625656215943,10.004533442659476,1.048584872908045,0.8117079984618162,0.3454296725271807,0.6545703255485339
46,109.6186072,0.8543156851190314,0.8282829521556406,0.5911670394125317,0.08840313,3.8919734734286706,9.339535948577199,1.2836657633921327,0.9800896811042407,0.3276552396601548,0.6723447580038896
47,50.67342485,0.8427018375831614,0.8155880950542621,0.5696100512911139,0.080610019,3.6469486666465865,9.720462371012578,1.2244537045499384,1.181190207664839,0.31002826000594924,0.6899717369090622
48,32.94406348,0.8579290855457796,0.829290090731423,0.5995486837180622,0.083197836,3.994364899512515,11.961258718036529,1.3644350427968215,0.9293192224192903,0.32930912128656714,0.6706908767828276
49,44.35949173,0.8664812826353453,0.8398756329694415,0.6067698020791057,0.08374566300000001,4.086079371666664,10.57699973960206,1.3832307652618314,0.8683413109816339,0.3431491183138189,0.656850879239548
50,58.70245845,0.8756240239727273,0.8523864688375656,0.6084154006321171,0.089791766,4.107453156555273,9.61795196955777,1.3657637966546763,0.8727928412667331,0.33660671830794936,0.6633932794483767
51,51.30043059,0.8762054820169982,0.8530557895293135,0.6164857058271028,0.10276952800000001,4.214929478928465,8.353282769577632,1.3747624229284878,1.0312025843087875,0.3225135228285535,0.6774864739803897
52,23.63660996,0.8774373204158532,0.8501202674163587,0.6240224716373303,0.084765699,4.319466848021433,11.722165068738144,1.478360142439704,0.6244944447725402,0.3682060451561546,0.6317939526548608
53,52.38459929,0.8644445866289685,0.8376936497582239,0.5933278126761649,0.08210310899999998,3.9179660189779746,9.591102997576263,1.3140718059559227,0.6401046779505277,0.380335683626473,0.6196643137977494
54,80.10569871,0.8318473554483591,0.7971064033233477,0.5731396401434057,0.07591071200000002,3.6853729843397502,11.461410169141454,1.2445326800562957,0.8439342025862856,0.3421721372247909,0.6578278610099337
55,30.92496356,0.8747814589932543,0.847008336781906,0.6213046857869544,0.09248771700000001,4.281290586167413,10.89188222504334,1.4494410713709613,0.6824883477057546,0.37713432012512144,0.6228656775597676
