New_Tree_ID,AGB,w_NDVI,w_ND800_680,w_mND_705,w_DD,w_mSR_705,w_DATT,w_Chl_Rred_edge,w_TBI_13,w_TBI_24,w_TBI_25
38,53.33566814,0.6084615816227826,0.5678631212056373,0.30310158368375006,-0.03740827800000002,1.8698587239514455,1.4435157755346102,0.4322371801151401,0.4398405913689944,0.4026135452134949,0.5973864525759703
39,40.54604196,0.7183435544864769,0.6768190808808,0.41147123565205757,0.09697492099999996,2.39830458740327,1.8806054560941943,0.6595233669794145,0.4146197317705407,0.4080768171280787,0.5919231814645459
40,37.8242169,0.6934045632752125,0.6475426916177265,0.41071166411262855,0.11059841800000003,2.3939242945524044,2.4342079920978366,0.6982689542665028,0.4343248493353871,0.3973406107140946,0.6026593884971516
41,51.0628713,0.731249354481569,0.69184160464617,0.37914972726835144,0.040793674,2.22138861426086,1.5012855058075423,0.5692120194439776,0.4419005408068634,0.39962547738981835,0.6003745204726467
42,39.5140975,0.792998780928707,0.7600190005851182,0.48761732916311884,0.18037276299999996,2.903332632924211,2.2564153612077993,0.8531418618020701,0.5949833712004281,0.3717666117323002,0.628233387135805
43,39.74733355,0.7688515601685065,0.729115351835238,0.4943118536265132,0.19022038000000002,2.955006685295517,2.8393096751589595,0.9305415844596201,0.4699976774247146,0.3934211859391652,0.6065788132603216
44,56.4556332,0.8154514021338517,0.7794746513337799,0.509772461576384,0.19179884199999991,3.079738168134397,2.4555074018591507,0.9320270175870522,0.49156198615993,0.39123640274302707,0.6087635963777412
45,25.02701878,0.708684324894665,0.6702680244866149,0.39960668855774223,0.08131521200000003,2.3311497006697364,1.9276122484548601,0.6380754637073809,0.5929316854210277,0.37646914868702047,0.6235308502126252
46,109.6186072,0.7869010559786898,0.754370229304196,0.48313988676383857,0.17197925400000003,2.8695189441233384,2.086197948334291,0.8293128310624074,0.6082792109585793,0.3734258185211298,0.6265741802297123
47,50.67342485,0.7724904251390284,0.7359416641901144,0.44917407057429387,0.13866259000000003,2.6309111332899406,2.0203998721282463,0.7521893987305033,0.5688738940701469,0.37954097539761983,0.6204590233989897
48,32.94406348,0.7691581884952202,0.731493219189707,0.4574050700553357,0.1499003350000001,2.685990947001578,2.07050026458804,0.7633993611126251,0.49974979653992757,0.38866217761477445,0.6113378211685997
49,44.35949173,0.6631777671878974,0.6192538743015426,0.33414002565357975,-0.015322860999999993,2.003634512979772,1.35202077084465,0.487993450564862,0.48918554252326774,0.39507503563594754,0.6049249620370994
50,58.70245845,0.7499109141295291,0.7131244204767955,0.389807057238311,0.04493063900000005,2.277651804162612,1.3828308299668386,0.5862729912706268,0.48224689247062547,0.38965730201557297,0.6103426958098107
51,51.30043059,0.8089581083011084,0.7745269427713363,0.4831001055036961,0.15994587599999993,2.8692211411544637,1.78922004859006,0.7992460727906758,0.47054651777293616,0.39389705492224786,0.6061029433942983
52,23.63660996,0.7702616613331289,0.7246478836258581,0.4334804056448261,0.117739651,2.530328023266401,1.9003209364615812,0.7180020544011123,0.39018790267150866,0.4040082312076498,0.5959917675722679
53,52.38459929,0.7927304627129125,0.7571634608584334,0.4721093193141926,0.153062441,2.788663207768414,1.9766778561862044,0.8106380278195107,0.46892185047559554,0.3996701548408184,0.6003298440043765
54,80.10569871,0.7403289307987424,0.7040275048556043,0.4502589449653716,0.14113463700000003,2.6380764749899925,2.174390046793182,0.7562441626002121,0.5609018685112608,0.3792085452157569,0.6207914536731827
55,30.92496356,0.786974738370997,0.749180452436549,0.478251672524629,0.16586343599999992,2.8332657611415515,2.0776160232844685,0.8093230036991925,0.37656756463716784,0.4169621472354047,0.5830378514942144
56,87.07503944,0.23399781743183534,0.21041273493298193,0.16417943475851193,-0.09502439200000001,1.3928580881084105,1.1241829230324833,0.23232973266365464,0.43458795459342925,0.4031023704935303,0.5968976233093585
57,58.43941671,0.6888491515093073,0.6426975525554272,0.34965872817075416,0.018643880999999973,2.07530843632881,1.5178960529763945,0.5265634672485477,0.4760044949464579,0.3984953132039705,0.601504684994679
58,50.13534971,0.818445622041007,0.7795221702515,0.5217064806081061,0.19426156599999994,3.1815327167530354,2.6052210173008916,0.9728469515280491,0.46057220127075843,0.3874319229447651,0.6125680762035813
59,39.74733355,0.79394174031642,0.7533475838105383,0.4856308708525007,0.17436806,2.8882582298809436,2.4650936255088967,0.8839053687477958,0.41140983903690476,0.4045712161630966,0.5954287829166083
60,76.02129961,0.6668072404275932,0.6218081602888622,0.3448512410131375,0.012072362999999975,2.0527417969019903,1.5334948514365945,0.519660588338414,0.4862034384060796,0.3951929553266643,0.6048070428892143
61,63.99937045,0.7750973293006838,0.7320390487981281,0.4480980009805521,0.13432583900000003,2.623831773050021,2.058245287143717,0.7692389551797165,0.41413039205444907,0.4065505932807577,0.593449405595299
