New_Tree_ID,AGB,ave_a_NDVI,ave_a_ND800_680,ave_a_mND_705,ave_a_DD,ave_a_mSR_705,ave_a_DATT,ave_a_Chl_Rred_edge,ave_a_TBI_13,ave_a_TBI_24,ave_a_TBI_25
20,81.61584885,0.8086023206444143,0.7533086885530479,0.5205704691490728,0.03880791,3.1716245426466605,20.33210299050945,1.1232876885317205,0.6386293737993829,0.3718517137412631,0.6281482847019052
21,94.56072651,0.8447180827610561,0.8043463510419545,0.5379679883356511,0.04511604000000001,3.328704391009813,13.162309207951164,1.1169846636404213,0.71656808206759,0.351636217786239,0.6483637806689588
22,139.2774604,0.8259336844808354,0.7910792756207242,0.567119244490664,0.067633987,3.620210006185715,11.134257465593102,1.209886056692099,1.1368761190917311,0.31474464200775976,0.6852553566281493
23,43.16346906,0.845397149417585,0.802759993348364,0.554830746857959,0.04756360200000001,3.4926732547245756,17.18291882519953,1.1981457082208857,0.771069217368654,0.3549244520930212,0.6450755463997738
24,89.51356569,0.8306175216965407,0.7802429636948787,0.518484899976739,0.040629314,3.1535561348223853,15.43244077318361,1.0599527913779876,0.7978976879802376,0.34335431556783297,0.6566456829782402
25,94.58074054,0.8290609548921093,0.7870023942328869,0.5368857494284011,0.04990320900000001,3.3185887616533694,13.53275160523459,1.111940083757447,0.9440429080365896,0.33234970021399185,0.6676502984317951
26,82.70858614,0.7852128472514974,0.731141021676703,0.4768930604010522,0.03533774700000002,2.823310009248258,13.50723268825395,0.9187219395715613,0.8100415607634938,0.34179231980715463,0.658207678933251
27,90.24573857,0.824121032474543,0.7699601212223632,0.527135263925635,0.03741312499999999,3.2295393264950625,17.80557604463998,1.107201953799867,0.754923358023888,0.3526199001933278,0.6473800983056355
28,72.30884802,0.8174001452157107,0.7775593037879617,0.554178342082492,0.058113573000000016,3.486098785044445,12.905995525867473,1.1716341007383178,0.8700649246602075,0.33888667025598074,0.6611133285041786
29,57.61488017,0.8545322336771496,0.8093636522743015,0.5469807816397628,0.043616214999999986,3.4148237343415992,17.024107192896565,1.1780406066761917,0.8731727230807288,0.3314204569754978,0.6685795414963369
