New_Tree_ID,AGB,ave_NDVI,ave_ND800_680,ave_mND_705,ave_DD,ave_mSR_705,ave_DATT,ave_Chl_Rred_edge,ave_TBI_13,ave_TBI_24,ave_TBI_25
47,50.67342485,0.856879561210673,0.8216326871657634,0.5627874846475898,0.05821193499999999,3.5744344627076363,13.282458369241903,1.201089894281921,0.6698195303202349,0.3647794569884947,0.6352205408348917
48,32.94406348,0.8762786409522273,0.8417994167608932,0.6046236440412792,0.06557399200000001,4.058471421564859,16.21210799000175,1.4104178767346962,0.6529310992684029,0.3648192958078094,0.6351807025156057
49,44.35949173,0.8749950326538973,0.839493978614212,0.5985633972933185,0.06373989800000002,3.982106723641268,14.227672660322337,1.3565328969357031,0.6451617100953683,0.3721512136917001,0.6278487844531144
50,58.70245845,0.8980372003752926,0.8703717474634136,0.618474918137359,0.06700374999999999,4.2421193058223725,13.724668220414006,1.4339073171437868,0.6088395130124181,0.3690914202134871,0.6309085777062726
51,51.30043059,0.892884260935474,0.8628181003789621,0.6201804897264879,0.07290544,4.265658933796352,12.585293044302833,1.4190342831215448,0.5641478981206328,0.3791656763818263,0.6208343213209954
52,23.63660996,0.8945274041590794,0.857054932482492,0.6153974921434562,0.054695583,4.20017409085225,20.074823724875408,1.4766910427333242,0.49842070847862924,0.38444655722095644,0.6155534408578214
53,52.38459929,0.8714002493001859,0.837520237920477,0.5838309916953796,0.06250723700000002,3.8057398743324895,12.734235393632552,1.2964028342970355,0.5712234081715319,0.3838799842244349,0.6161200138242738
54,80.10569871,0.8405952366910617,0.8024061375658217,0.5699594097138039,0.06352559799999999,3.6507237758816924,13.780914747805717,1.2450388461947552,0.7066394388565942,0.35727960586241825,0.6427203924293743
55,30.92496356,0.8826726706878468,0.8480805136608529,0.6147994931298745,0.06755833,4.192101156832251,15.590593331557324,1.4389586499786664,0.4779955393343413,0.400803884482057,0.5991961136732556
56,87.07503944,0.8219113634509635,0.7773641875681574,0.5246572799385372,0.048801194000000006,3.2074905399738927,14.128983793272047,1.1148848800742148,0.6013633238561913,0.377409701713351,0.6225902963813787
57,58.43941671,0.8653371088302186,0.82639106611186,0.5718921587951046,0.05647188399999999,3.6717200785577173,14.832661385128995,1.2665836862963373,0.6142953033841702,0.37796368799656443,0.6220363100671814
58,50.13534971,0.8821285384022384,0.8441227726568901,0.6088024523580476,0.05672529999999999,4.112506479217318,17.56212826824451,1.4144246011822617,0.5494398466461049,0.37125105717914664,0.6287489408919275
59,39.74733355,0.8618264812004662,0.8220009283692631,0.5746322900116301,0.05785623900000001,3.7018143375557266,15.209066953930488,1.296115066601597,0.502603257334065,0.38917174895255474,0.6108282491438622
60,76.02129961,0.8537614203879128,0.8129545400876599,0.5658271257848092,0.05474835700000001,3.6064600447105395,14.871804454383293,1.24410655382786,0.6266688711394942,0.3740057885889065,0.6259942094838291
61,63.99937045,0.8762641947290912,0.8373298229388053,0.5848515449525601,0.050784657,3.817553751473093,17.816897457362554,1.3547292525525068,0.5093694167679319,0.39106970848301675,0.6089302893965446
62,49.41193063,0.8582999910215028,0.8265350804896272,0.6010427696225044,0.07346053100000001,4.0130686838161065,12.090029728567275,1.333930358028038,0.792204395613325,0.3455316912665363,0.654468306698853
63,63.82430149,0.8704691846063657,0.8361548666118248,0.5781549970323795,0.06531192400000001,3.74107784564584,12.009556991069694,1.2451101458622968,0.7361332446927258,0.35597789938286606,0.6440220987435391
64,32.21010303,0.8603489464327112,0.8264461526156314,0.5834463215593987,0.07314078499999999,3.801301972537199,12.601480871692749,1.2775432026569615,0.6911462581995758,0.35842819019948796,0.641571807967301
65,43.02858032,0.8749308064847113,0.8408413751320849,0.6114082006915924,0.06716085,4.146788997858143,16.037019178213985,1.4500455929547535,0.5656171598612395,0.38085717590886614,0.6191428222818367
66,32.35254559,0.8720807693763716,0.8254245130820493,0.5681080598849916,0.04482663600000002,3.6307879614773633,19.08343793360193,1.2973459390876498,0.4670687524626329,0.39180696871087106,0.6081930294637199
67,56.80205659,0.863762245756026,0.8293793608329383,0.5738706848735161,0.06292067800000001,3.6934109595480566,12.295336467807369,1.2703826749608673,0.7781971413814789,0.3545004079297654,0.6454995900088953
68,41.47937683,0.8472215962223905,0.8046672516603971,0.5445847630251464,0.049081819,3.3915965809596846,15.846912236715609,1.1964336137111427,0.490921893567859,0.3813171881123821,0.6186828101771804
69,55.59174654,0.8428493599058869,0.8011704250692389,0.5626109027218047,0.056247108999999997,3.5725876802036867,14.807163095688608,1.2503085449161992,0.5686365436183674,0.3758422191164616,0.6241577786741471
70,96.07161628,0.8590100849784952,0.8208283026352489,0.5818241491332945,0.057118837,3.7826769368418023,14.360022036621691,1.29082337795605,0.5604426169267354,0.37468607293627665,0.6253139251024346
71,11.98401757,0.8688611468983571,0.8088199114077621,0.5446074856184384,0.030211151000000006,3.3918157041714205,27.10953665629008,1.1878927250956677,0.4593911602186186,0.39909693799562007,0.6009030600758828
72,38.28179859,0.8506120819829819,0.8083052204853057,0.5683544711809297,0.053039804999999995,3.6334315170276823,17.467085338888403,1.2545342796184995,0.5298997434390355,0.38826667423182554,0.6117333239264875
73,30.88539642,0.8680270231126598,0.832275551133972,0.5856817411084395,0.066785379,3.827206995615998,13.510901251890587,1.319563601600211,0.784573549656939,0.3500790196746571,0.649920978573735
74,46.22901777,0.8744478110355778,0.8379347119302993,0.5859428726777615,0.052507176000000017,3.8302513471710693,19.60722738918761,1.3391773273664538,0.3168481457567302,0.407754342511136,0.5922456554151009
75,36.32284511,0.8588737024488418,0.8262449991907995,0.5669558555621023,0.049014894,3.6184667844882834,15.473785778007949,1.2369696462883693,0.5655296575453955,0.37653457381555117,0.6234654236312709
