New_Tree_ID,AGB,sun_b_NDVI,sun_b_ND800_680,sun_b_mND_705,sun_b_DD,sun_b_mSR_705,sun_b_DATT,sun_b_Chl_Rred_edge,sun_b_TBI_13,sun_b_TBI_24,sun_b_TBI_25
26,82.70858614,0.8663196284741715,0.8359747065699412,0.5671176079560151,0.06154971800000002,3.620192538578877,12.71282562191191,1.2710134786928369,0.8325143252655564,0.3263370187763819,0.6736629785988587
27,90.24573857,0.8548702679058724,0.8292497596866052,0.6120019837946507,0.08338423600000001,4.154665524801691,13.194823404886323,1.444859069307042,1.6345960683477434,0.2490774176733397,0.7509225792753664
28,72.30884802,0.8602060179080833,0.8326335237419558,0.6110914195454616,0.08041977900000001,4.14259673944529,12.886793726882841,1.4355273229990795,0.7995369735162267,0.3602680891865651,0.6397319074766697
29,57.61488017,0.8703266465507827,0.8493179626848228,0.6298566586850028,0.09493265899999999,4.403312108156281,12.442882093122826,1.4950690606628783,2.7571342136742967,0.18820538903229325,0.8117946075251546
30,51.94978912,0.878600544729542,0.848090604381559,0.5841966356733655,0.055807945000000005,3.809965885017533,16.124025730353782,1.403383679195442,0.7231856964693723,0.364322431427944,0.6356775643152744
31,79.02019367,0.8883253292045947,0.8669490794829461,0.630029821663382,0.09267684100000001,4.405841105499311,11.48768500240327,1.4913558122694899,1.3097659576006302,0.2961332137631722,0.7038667829091612
32,70.77411233,0.8727549994698502,0.8454709379787578,0.6164458947864896,0.08440075500000001,4.2143881934851715,12.976348478353437,1.4816415800797555,1.1162049906066278,0.3188190240712782,0.6811809737232372
33,36.87862221,0.8670785519872773,0.8407490705235299,0.6083941077909942,0.086889207,4.107175448184246,9.559205539956038,1.358511522800545,0.6022657630493989,0.37865931306108663,0.6213406834340454
34,78.12089996,0.853484378016677,0.8167824051325177,0.5745765175201986,0.068958768,3.7011979363036787,13.04657872449734,1.3044137522443675,0.5897208784343881,0.36091687240807757,0.6390831256775873
35,90.32501245,0.8847388618271379,0.8638848735304612,0.6543809983534639,0.111752507,4.786718868035718,9.054860072461336,1.5680440031898724,2.0342036021909387,0.20221229020149595,0.7977877023037833
36,59.18107363,0.8580324338328952,0.8309989661044069,0.583147594753441,0.079484271,3.797861240363876,11.254221031540059,1.320284853139575,0.7651380089377786,0.34844954372508724,0.651550454195202
37,53.99643758,0.8621506551558801,0.835962455859291,0.6084894914760811,0.087129238,4.108419708952038,11.223486757030946,1.3873082793039222,1.227230481633956,0.3021852483062782,0.697814749345017
38,53.33566814,0.8486211675122052,0.8159460146283801,0.5856920682510084,0.07653127900000001,3.827327320491991,12.015334268804992,1.2788431560670945,0.7665463095695592,0.3527190814054606,0.6472809164530214
39,40.54604196,0.8696689485759848,0.8406349467911304,0.6186535696521318,0.08349608100000001,4.244575112263601,12.718554435724219,1.4822784425706916,0.7090330631293693,0.36357139873648986,0.6364285987272957
40,37.8242169,0.7647142099777331,0.7111623440693573,0.508192113895813,0.051032548,3.066628564794117,15.694758290402206,1.0634010933145208,0.4805493054397316,0.3877399562804818,0.6122600419232985
41,51.0628713,0.8756712657499356,0.849818629472825,0.608856669604792,0.09443498800000003,4.113215138149352,10.364422849684386,1.3976435039550532,0.9549699295201959,0.32361302845989176,0.6763869695333675
